접수일자,발생지점,접수구분(포트홀-도로파손-도로침하)
2021-09-01,구로동184-1,보도파손
2021-09-01,구로중앙로197,보도파손
2021-09-01,경인로552,보도파손
2021-09-01,경인로537,보도파손
2021-09-01,경인로590,보도파손
2021-09-01,개봉로15길74-15,도로파손
2021-09-01,구로중앙로28길24,도로파손
2021-09-01,구로중앙로28길35-5,도로파손
2021-09-01,새말로93,도로파손
2021-09-02,가마산로250,보도파손
2021-09-02,남부순환로1275,보도파손
2021-09-02,구로동2길60,도로파손
2021-09-02,온수동산1-4,도로파손
2021-09-03,가마산로278,보도파손
2021-09-03,가마산로279,보도파손
2021-09-03,가마산로277,보도파손
2021-09-03,가마산로283,보도파손
2021-09-03,가마산로280,보도파손
2021-09-03,구로4동148-10,보도파손
2021-09-03,개봉동492-3,도로파손
2021-09-03,경인로6길30,도로파손
2021-09-03,경인로381,보도파손
2021-09-03,개봉로16길15,보도파손
2021-09-03,구로중앙로18길68(총3건),보도파손
2021-09-03,경인로618,보도파손
2021-09-03,오리로7길9-1,보도파손
2021-09-03,구로동152-6,보도파손
2021-09-06,가마산로27길69,보도파손
2021-09-06,부일로833,도로파손
2021-09-06,경인로20길13,보도파손
2021-09-06,부일로941,도로파손
2021-09-06,신도림로7,도로파손
2021-09-06,디지털로26길87,도로파손
2021-09-08,구로동65(구로중앙로43),보도파손
2021-09-08,궁동202-3,도로파손
2021-09-08,오류동산20-21오류동제일교회앞,도로파손
2021-09-08,고척로191,도로파손
2021-09-08,부일로1길11,도로파손
2021-09-08,새말로15,도로파손
2021-09-09,구로중앙로176-1,보도파손
2021-09-09,오류동108-63,보도파손
2021-09-09,오리로1154-19,도로파손
2021-09-09,구로중앙로42길67,도로파손
2021-09-09,신도림로11다길21-4,도로파손
2021-09-09,중앙로101,보도파손
2021-09-09,중앙로101,측구파손
2021-09-09,"부일로15길105, 11길105",도로파손
2021-09-09,우신고 버스정류장앞,도로파손
2021-09-09,고척로3길57,경계석 방치
2021-09-09,새말로22,도로파손
2021-09-09,대림동616-1,도로파손
2021-09-10,구로동102,보도파손
2021-09-10,고척로21길55,도로파손
2021-09-10,새말로117-23,도로파손
2021-09-13,중앙로100,보도파손
2021-09-13,구로동108-2,보도파손
2021-09-13,부일로927,도로파손
2021-09-13,고척동72-6,보도파손
2021-09-13,도림로45,도로파손
2021-09-13,도림로90,도로파손
2021-09-13,구로중앙로25길26,도로파손
2021-09-13,구로중앙로47,도로파손
2021-09-13,고척로25길21,도로파손
2021-09-13,개봉로23가길37,도로파손
2021-09-14,구일로64,도로파손
2021-09-15,가마산로260,경계석파손
2021-09-15,디지털로229-3,보도파손
2021-09-15,시흥대로577,보도파손
2021-09-15,구로중앙로3길50,도로파손
2021-09-15,구로동414-88,경계석파손
2021-09-15,신도림동323-4,보도파손
2021-09-15,신도림로11가길19-11,도로파손
2021-09-16,개봉로16길37,보도파손
2021-09-16,경인로40길41,보도파손
2021-09-16,구일로2길60,보도파손
2021-09-16,신도림로7길21,도로파손
2021-09-16,구로동327-18,도로파손
2021-09-16,개봉로3가길88-27,도로파손
2021-09-16,개봉동38-80,도로파손
2021-09-23,고척로25길13,도로파손
2021-09-23,고척로21길49,도로파손
2021-09-23,경인로67길23,도로파손
2021-09-23,구일로62,도로파손
2021-09-23,구로동로210-7,도로파손
2021-09-23,구로동로38길7,도로파손
2021-09-23,남구로역4번출구,도로파손
2021-09-23,개봉로27,보도파손
2021-09-23,오류동108-27,보도파손
2021-09-23,구로중앙로43,보도파손
2021-09-23,구로중앙로32가길12-7,보도파손
2021-09-24,구로동1125-12,보도파손
2021-09-24,남부순환로971,도로파손
2021-09-24,오류동66-8,도로파손
2021-09-24,고척동241-172,도로파손
2021-09-24,구로동829,도로파손
2021-09-24,구로동719-33,보도파손
2021-09-24,개봉로3길87,도로파손
2021-09-24,새말로117-6,도로파손
2021-09-27,남부순환로1082-58,경계석파손
2021-09-27,부일로965,도로파손
2021-09-27,구로동로7라길2,도로파손
2021-09-27,오류로8나길17-6,도로파손
2021-09-27,구로동로49길9-3,도로파손
2021-09-27,개봉로1길88,도로파손
2021-09-27,경인로65길16-15,도로파손
2021-09-27,고척로27길27,도로파손
2021-09-27,개봉로18길25,경계석파손
2021-09-27,구로동로49길9,도로파손
2021-09-28,공원로81,"보도,경계석파손"
2021-09-28,천왕로36,보도파손
2021-09-28,구일로8길20,보도파손
2021-09-28,경인로407,측구파손
2021-09-28,천왕로32,보도파손
2021-09-28,신도림동410-17,도로파손
2021-09-29,가마산로97,보도파손
2021-09-29,구로중앙로51,측구파손
2021-09-29,궁동252,측구파손
2021-09-29,궁동252,보도파손
2021-09-29,궁동213-47,도로파손
2021-09-29,오류로8길96,도로파손
2021-09-29,고척2동241-212,도로파손
2021-09-30,오류동80-1,보도파손
2021-09-30,구로동435,보도파손
2021-09-30,구로동111-42,보도파손
2021-09-30,개봉동27-4,도로파손
2021-09-30,경서로79,도로파손
2021-09-30,오류로8길96,도로파손
2021-09-30,고척로25길25,도로파손
2021-10-01,공원로75,도로파손
2021-10-01,구로동로13길23-20,도로파손
2021-10-01,천왕로92,도로파손
2021-10-01,경인로27길33,도로파손
2021-10-01,경인로15나길8,도로파손
2021-10-01,고척로7,보도파손
2021-10-01,고척로3길42,도로파손
2021-10-01,신도림동325-11,도로파손
2021-10-01,고척로21나길48-7,보도파손
2021-10-05,고척로212,보도파손
2021-10-05,구로동1278,보도파손
2021-10-05,구로동108-2,도로파손
2021-10-05,도림로20길6(구로동169-4),도로파손
2021-10-05,경인로393-7,도로파손
2021-10-05,부일로901,도로파손
2021-10-05,남구로역1전출구,도로파손
2021-10-05,가마산로91-30,보도파손
2021-10-05,중앙로43,도로파손
2021-10-05,경인로67길23,도로파손
2021-10-05,디지털로319,도로파손
2021-10-06,중앙로5길62,보도파손
2021-10-06,경인로331,보도파손
2021-10-06,개봉동331-16B동앞,측구파손
2021-10-06,고척로18길92,도로파손
2021-10-06,고척로18길83,도로파손
2021-10-06,부일로965,도로파손
2021-10-06,부일로927,도로파손
2021-10-06,구로동1119,측구파손
2021-10-06,고척동156-1,보도파손
2021-10-08,경인로43길8,보도파손
2021-10-08,공원로21길,보도파손
2021-10-08,새말로117-23,도로파손
2021-10-08,구로동로7나길16-3,보도파손
2021-10-12,구로중앙로107,보도파손
2021-10-12,부일로1길11(버스정류장앞),도로파손
2021-10-12,부일로9길135-4,도로파손
2021-10-12,우신고 정류장17-182앞,도로파손
2021-10-12,덕의초정류장17-211앞,도로파손
2021-10-12,경서로7가길26-35,도로파손
2021-10-12,고척로21길55,도로파손
2021-10-12,서해안로2313-16,도로파손
2021-10-12,새말로21,도로파손
2021-10-12,중앙로3길49,도로파손
2021-10-13,천왕로9,보도파손
2021-10-13,디지털로31길38-2,보도파손
2021-10-13,고척동253-194,보도파손
2021-10-13,디지털로26길87,도로파손
2021-10-13,디지털로26길110,도로파손
2021-10-14,가마산로97,보도파손
2021-10-14,중앙로1길36,보도파손
2021-10-14,구로중앙로31,보도파손
2021-10-14,고척동66-60,보도파손
2021-10-14,개봉동459-3,도로파손
2021-10-14,온수동9-1,도로파손
2021-10-14,오리로1265,도로파손
2021-10-14,중앙로101,보도파손
2021-10-14,중앙로85,보도파손
2021-10-14,개봉로3길74-5,보도파손
2021-10-15,공원로26,보도파손
2021-10-15,고척로211,측구파손
2021-10-15,가산동87-228,보도파손
2021-10-15,구로중앙로51(구로동86-5),도로파손
2021-10-15,구로동로28길64-12,도로파손
2021-10-15,구로동로50길30,도로파손
2021-10-15,중앙로6길9,도로파손
2021-10-15,구로동63-1(가마산로25길7),도로파손
2021-10-15,부일로7길3,보도파손
2021-10-18,남부순환로105길112-9,도로파손
2021-10-18,궁동26-4,"보도,경계석파손"
2021-10-18,부일로855,도로파손
2021-10-18,오리로1130,보도파손
2021-10-19,중앙로45,보도파손
2021-10-19,경서로5,경계석파손
2021-10-19,구로동97,보도파손
2021-10-19,구로중앙로134,보도파손
2021-10-19,구로역광장(선별진료소부근),보도파손
2021-10-19,구로디지털단지역 환승정류장부근,도로파손
2021-10-19,경인로47다길3,도로파손
2021-10-19,서해안로2313-16,도로파손
2021-10-19,구로동713-44,도로파손
2021-10-21,가리봉동134-114(디지털로230),보도파손
2021-10-21,경인로170,보도파손
2021-10-21,구로동로25길33-26,도로파손
2021-10-21,중앙로10,보도파손
2021-10-21,중앙로27,보도파손
2021-10-21,디지털로26길72,도로파손
2021-10-21,대림동633-1,도로파손
2021-10-21,구로중앙로17,도로파손
2021-10-22,구로동770-42,보도파손
2021-10-22,구로동777-33,보도파손
2021-10-22,구로동1278-2,보도파손
2021-10-22,구로동777-19,보도파손
2021-10-22,구로동56-2,보도파손
2021-10-22,구로동805-22,도로파손
2021-10-22,구로동805-13,도로파손
2021-10-22,중앙로14길25,도로파손
2021-10-22,구로동794-16,도로파손
2021-10-22,구로동794-6,도로파손
2021-10-22,구로중앙로26길32,도로파손
2021-10-22,구로동803-26,도로파손
2021-10-22,구로동803-4,도로파손
2021-10-25,중앙로5길20,경계석파손
2021-10-25,디지털로31길90,보도파손
2021-10-25,오류로36-13,보도파손
2021-10-25,개봉동206-2,경계석파손
2021-10-25,구로동1278,보도파손
2021-10-25,구로동426-167,보도파손
2021-10-25,구일로130,보도파손
2021-10-25,고척로27바길6,측구파손
2021-10-25,경인로170,보도파손
2021-10-25,천왕로106-1,도로파손
2021-10-25,고척로210,도로파손
2021-10-25,고척로21가길2,도로파손
2021-10-26,중앙로3길20,경계석파손
2021-10-26,중앙로32,보도파손
2021-10-26,온수동51-34,보도파손
2021-10-26,온수동51-34,보도파손
2021-10-26,우마1가길14,도로파손
2021-10-26,궁동202-4,도로파손
2021-10-26,구로동682-9,도로파손
2021-10-26,온수역4번출구,도로파손
2021-10-28,경인로47길13,보도파손
2021-10-28,디지털로27길113,보도파손
2021-10-28,중앙로1길10,보도파손
2021-10-28,고척로31길88,도로파손
2021-10-28,고척동159-1,"경계석,보도파손"
2021-10-28,고척로25길25,도로파손
2021-10-29,중앙로10-16,도로파손
2021-10-29,구로중앙로8길22,도로파손
2021-10-29,가마산로25길9,보도파손
2021-10-29,목동남로6,보도파손
2021-10-29,부일로1길126,도로파손
2021-10-29,경인로290-42,도로파손
2021-10-29,고척로25길25,도로파손
2021-11-01,구로동로18길45,도로파손
2021-11-01,구로동139-74,보도파손
2021-11-01,오류동44-10(시티월드),보도파손
2021-11-01,구로동로21길1,보도파손
2021-11-01,고척로323,도로파손
2021-11-01,경인로47길67,도로파손
2021-11-01,궁동1-16,도로파손
2021-11-01,구로동701-2,보도파손
2021-11-01,구로중앙로28길59,보도파손
2021-11-01,디지털로33길12,도로파손
2021-11-01,신도림로16,도로파손
2021-11-01,구로중앙로31길30,도로파손
2021-11-01,구로중앙로60,도로파손
2021-11-01,구로중앙로28길73,도로파손
2021-11-02,구로동로236,도로파손
2021-11-02,가마산로95~97사이,도로파손
2021-11-02,구로중앙로28길40,도로파손
2021-11-02,가마산로265,보도파손
2021-11-03,구로동136-14,보도파손
2021-11-03,구로동179-91,도로파손
2021-11-03,고척동102-1,도로파손
2021-11-03,고척동124-10,도로파손
2021-11-03,고척동105-5,도로파손
2021-11-03,중앙로6길45,도로파손
2021-11-03,신도림로11나길13-18,도로파손
2021-11-03,중앙로1길51,보도파손
2021-11-04,가마산로277,보도파손
2021-11-04,경인로47나길20-8,보도파손
2021-11-04,구로동로197,"경계석,보도파손"
2021-11-08,구로동로78,보도파손
2021-11-10,벚꽃로378,보도파손
2021-11-10,경서로7길33(고척동145-77),보도파손
2021-11-10,구로중앙로37,보도파손
2021-11-10,구로동로78,보도파손
2021-11-10,"구로역광장, 3번출구",보도파손
2021-11-10,우마1길12-10,보도파손
2021-11-10,도로파손,도로파손
2021-11-10,디지털로35길14,도로파손
2021-11-10,고척로49길2,도로파손
