접수일자,발생지점,접수구분(포트홀-도로파손-도로침하)
2021-11-12,구로동806-81,보도파손
2021-11-12,개봉동156-23,보도파손
2021-11-12,경인로47길13,보도파손
2021-11-12,경인로518,경계석파손
2021-11-12,오류동66,보도파손
2021-11-12,구로동87-1,보도파손
2021-11-12,구로중앙로32가길12,보도파손
2021-11-12,디지털로31길93,측구파손
2021-11-12,시흥대로535,보도파손
2021-11-12,고척동269-17,도로파손
2021-11-12,구로동로26길51-7,보도파손
2021-11-12,구로동148-14,보도파손
2021-11-12,시흥대로161길62,도로파손
2021-11-12,중앙로101,보도파손
2021-11-12,새말로117-23,도로파손
2021-11-12,디지털로26길110,도로파손
2021-11-15,중앙로5길6,도로파손
2021-11-15,가마산로159-14,도로파손
2021-11-15,경인로67길57,도로파손
2021-11-15,고척로21가길11,도로파손
2021-11-15,구로동1-4,도로파손
2021-11-15,궁동198-35,도로파손
2021-11-15,궁동189-1,보도파손
2021-11-15,궁동213-52,보도파손
2021-11-15,궁동213-47,보도파손
2021-11-15,개봉로19길95,보도파손
2021-11-15,개봉동132-29,보도파손
2021-11-16,오류동85-12,보도파손
2021-11-16,구로중앙로18길23,경계석파손
2021-11-16,경인로20나길50,도로파손
2021-11-16,"개봉로7길, 개봉로1길40",도로파손
2021-11-16,신도림로15길21,도로파손
2021-11-16,고척로25길15,도로파손
2021-11-17,구로중앙로19나길49,도로파손
2021-11-17,구일로4길57,보도파손
2021-11-18,고척동241-15,도로파손
2021-11-18,오리로1304,보도파손
2021-11-18,오리로1306,보도파손
2021-11-18,오리로1310,도로파손
2021-11-18,궁동288-2 오리로1294,측구파손
2021-11-18,오리로1266,보도파손
2021-11-18,오리로1286,보도파손
2021-11-18,오리로1288,보도파손
2021-11-18,오리로1298,보도파손
2021-11-18,오리로1296,보도파손
2021-11-19,구로동80,보도파손
2021-11-22,경인로565(구로동604-19),보도파손
2021-11-22,고척로238,보도파손
2021-11-22,경인로35길130-3,보도파손
2021-11-22,신도림로57,도로파손
2021-11-22,신도림로7,도로파손
2021-11-22,디지털로31길20,도로파손
2021-11-23,구로동1119,보도파손
2021-11-23,개봉동356-9,도로파손
2021-11-23,개봉로6길12-5,도로파손
2021-11-24,남부순환로95길88,보도파손
2021-11-24,경인로565(구로동604-19),보도파손
2021-11-24,경인로170,도로파손
2021-11-25,연동로288,도로파손
2021-11-26,경인로565,보도파손
2021-11-26,천왕1생태터널,도로파손
2021-11-26,부일로927,도로파손
2021-11-26,디지털로26길87,도로파손
2021-11-29,구로중앙로68(구로동100-8),도로파손
2021-11-29,구로구청후문 인도에서 차도연결한 곳,도로파손
2021-11-29,고척로27길27,도로파손
2021-11-30,대림역 1번출구지나서,보도파손
2021-11-30,구로중앙로28길66,보도파손
2021-11-30,고척로52길12(고척동253-117),도로파손
2021-11-30,개봉동416-2,도로파손
2021-11-30,구로중앙로7길25,도로파손
2021-11-30,구로동로26길101-3,도로파손
2021-11-30,새말로117-23,도로파손
2021-11-30,새말로117-6,도로파손
2021-12-01,구로동98-5(강서수도사업소구로청상앞),보도파손
2021-12-01,경인로33길102(고척동257-13),도로파손
2021-12-01,경인로20길3,도로파손
2021-12-03,경인로15길4,보도파손
2021-12-03,경서로3길4,도로파손
2021-12-06,신도림동385-8,보도파손
2021-12-06,개봉로17-1,보도파손
2021-12-06,구로동1124-21,도로파손
2021-12-06,고척로25길21,도로파손
2021-12-06,고척로25길31,도로파손
2021-12-06,도림로111-1,도로파손
2021-12-06,구로동1-4,도로파손
2021-12-07,디지털로33길11,도로파손
2021-12-07,부일로951,도로파손
2021-12-08,가마산로27길7,보도파손
2021-12-08,디지털로27길57,보도파손
2021-12-08,구로동313-130,도로파손
2021-12-08,구일우성아파트 17-242,도로파손
2021-12-08,부일로17길112,도로파손
2021-12-08,부일로945,도로파손
2021-12-09,오류동172-76오류2동주민센터앞,도로파손
2021-12-09,구로동1119,도로파손
2021-12-09,구로동1124-2,측구파손
2021-12-09,고척동253-103,보도파손
2021-12-09,개봉동403-64,"보도,경계석파손"
2021-12-10,구로중앙로237,보도파손
2021-12-10,구로동로28가길13-5,보도파손
2021-12-13,도림천로338,"경계석,보도파손"
2021-12-13,구로구청사거리,보도파손
2021-12-13,신도림동330-61,보도파손
2021-12-14,가리봉동136-77,도로파손
2021-12-14,구로동1133-1,도로파손
2021-12-14,경인로53길59,도로파손
2021-12-14,개봉로1나길6,도로파손
2021-12-14,안양천로539길18,도로파손
2021-12-14,개봉로10길14-1,도로파손
2021-12-14,가림열교창고앞,도로파손
2021-12-15,구로동1125-6,보도파손
2021-12-15,구로동1132-14,보도파손
2021-12-15,항동로42,보도파손
2021-12-15,구로동1119,보도파손
2021-12-15,공원로26,보도파손
2021-12-15,고척로27길107,도로파손
2021-12-16,개봉동357-22,보도파손
2021-12-16,가리봉동135-11,보도파손
2021-12-16,개봉로2길133-15,보도파손
2021-12-16,개봉로12길27,도로파손
2021-12-16,구일로8길56,도로파손
2021-12-16,구로동761-9,도로파손
2021-12-16,가마산로141,도로파손
2021-12-16,부일로945,도로파손
2021-12-17,디지털로31길120,보도파손
2021-12-17,구로동767-162,경계석파손
2021-12-17,오류동276-6(서해안로2212),보도파손
2021-12-17,고척동164-35,도로파손
2021-12-17,디지털로26길87,도로파손
2021-12-17,구청사거리,도로파손
2021-12-21,개봉동170-33,경계석파손
2021-12-21,고척동339-2,보도파손
2021-12-21,고척동323,도로파손
2021-12-21,개봉로15길5,도로파손
2021-12-21,오류동6-122,경계석파손
2021-12-21,구일로10길27,도로파손
2021-12-21,새말로117-23,도로파손
2021-12-21,남구로역6번출구,"경계석,보도파손"
2021-12-21,오류로66-11,측구파손
2021-12-23,오리로1149(천왕역2번출구),도로파손
2021-12-23,디지털로27길53,도로파손
2021-12-24,개봉로63,"경계석,보도파손"
2021-12-24,구로동로40길41,보도파손
2021-12-27,부일로941,도로파손
2021-12-27,신도림로11,도로파손
2021-12-29,고척로25길19,도로파손
2021-12-29,부일로927,도로파손
2021-12-29,천왕로92,도로파손
2021-12-31,경인로67길23,도로파손
2021-12-31,구로중앙로19나길49,도로파손
2022-01-03,개봉동181-2,보도파손
2022-01-03,개봉동181-2,보도파손
2022-01-03,경인로620-1,보도파손
2022-01-03,경인로618,보도파손
2022-01-03,경인로572 구로역3번출구,보도파손
2022-01-03,경인로170,도로파손
2022-01-03,구로동로42길50,도로파손
2022-01-03,경인로65길44,도로파손
2022-01-03,구로동771-44,도로파손
2022-01-04,고척동176-20,보도파손
2022-01-04,구로동로26길80,도로파손
2022-01-04,오리로21길31,도로파손
2022-01-04,고척로123-2,도로파손
2022-01-05,궁동237-2,"경계석, 보도파손"
2022-01-05,오류1동 예성라온팔리스,보도파손
2022-01-06,구로동237-14,경계석파손
2022-01-06,오금교사거리램프구간(미성아파트방면),도로파손
2022-01-06,경서로9,보도파손
2022-01-06,개봉로70,제설제보충
2022-01-06,연동로312,도로파손
2022-01-06,도림로28길5,도로파손
2022-01-07,오류동218-9(서해안로2228),계단파손
2022-01-07,디지털로27가길5,보도파손
2022-01-07,시흥대로559,보도파손
2022-01-10,구로중앙로32길14,보도파손
2022-01-10,구로동로41길6,도로파손
2022-01-11,오류로66-7,도로파손
2022-01-11,경인로53길123,도로파손
2022-01-11,중앙로14길31,도로파손
2022-01-12,궁동26-4,소화기
2022-01-12,고척로25길20,도로제설작업
2022-01-12,신도림로20,도로파손
2022-01-12,구로구청,보도파손
2022-01-13,구로동65,보도파손
2022-01-13,구로동100-11,보도파손
2022-01-13,구로동442-6,보도파손
2022-01-13,구로동531-22,보도파손
2022-01-13,구로동496-128,보도파손
2022-01-13,구로동496-128,보도파손
2022-01-13,구로동496-128,보도파손
2022-01-13,궁동237-12,보도파손
2022-01-13,고척로237,도로파손
2022-01-13,구로동636-89,도로파손
2022-01-14,경인로643,보도파손
2022-01-14,고척동57-228,도로파손
2022-01-14,구로동로47길24,도로파손
2022-01-14,항동161-1,도로파손
2022-01-17,고척동60-26,도로파손
2022-01-17,도림천로477,도로파손
2022-01-17,공원로27,도로파손
2022-01-17,신도림동324-13,도로파손
2022-01-17,중앙로14길23,도로파손
2022-01-20,구로중앙로68신한은행앞,보도파손
2022-01-20,오리로1154-19,도로파손
2022-01-20,오리로1154-19,도로파손
2022-01-20,구로중앙로26길34,도로파손
2022-01-20,경인로27길20-5,도로파손
2022-01-20,경인로27길25,도로파손
2022-01-20,경인로227,보도파손
2022-01-20,부일로15길17,보도파손
2022-01-20,부일로933,도로파손
2022-01-20,구로동65구청후문앞,보도파손
2022-01-21,남부순환로1082-58,도로파손
