접수일자,도로명주소,지번주소,세부사항,기타 사항,위도,경도,경계석파손,보도파손,도로파손,포트홀,측구파손,보도방치,경계석방치,보도돌출
2021-06-01,서울특별시 구로구 고척로33길 17,서울특별시 구로구 고척동 253-79,,,37.5034003,126.8487451,Y,N,N,N,N,N,N,N
2021-06-01,,서울특별시 구로구 구로동 642-4,,주소지미존재,,,N,Y,N,N,N,N,N,N
2021-06-01,서울특별시 구로구 부일로1길 11,서울특별시 구로구 온수동 57-16,,,37.49189503,126.8212814,N,N,Y,N,N,N,N,N
2021-06-01,,서울특별시 구로구 구로4동 771-14,,주소지미존재,,,N,N,Y,N,N,N,N,N
2021-06-01,,서울특별시 구로구 천왕동 282-10,,주소지미존재,,,N,N,Y,N,N,N,N,N
2021-06-01,서울특별시 구로구 가마산로20길 38,서울특별시 구로구 구로동 329-42,,,37.4919349,126.8861571,N,N,Y,N,N,N,N,N
2021-06-01,서울특별시 구로구 새말로 120,서울특별시 구로구 구로동 26-1,,,37.50632083,126.8928253,N,N,Y,N,N,N,N,N
2021-06-02,,서울특별시 구로구 구로동 1201,,주소지미존재,,,N,Y,N,N,N,N,N,N
2021-06-02,서울특별시 구로구 경인로13길 5,서울특별시 구로구 오류동 81-142,,,37.49435507,126.8390392,N,N,Y,N,N,N,N,N
2021-06-02,서울특별시 구로구 경인로 152,서울특별시 구로구 오류동 77-19,서울특별시 구로구 경인로152~154부근,,37.49333775,126.8387138,N,Y,N,N,N,N,N,N
2021-06-02,서울특별시 구로구 고척로 7,서울특별시 구로구 오류동 9-52,,,37.49549804,126.8405325,N,N,Y,N,N,N,N,N
2021-06-02,서울특별시 구로구 고척로1길 23,서울특별시 구로구 오류동 81-26,,,37.49486218,126.8395166,N,N,Y,N,N,N,N,N
2021-06-02,서울특별시 구로구 고척로1길 33,서울특별시 구로구 오류동 81-149,,,37.49467934,126.8391018,N,N,Y,N,N,N,N,N
2021-06-02,서울특별시 구로구 서해안로34가길 3,서울특별시 구로구 개봉동 310-8,서울특별시 구로구 서해안로34가길 대진빌라옆,,37.4945198,126.8485978,N,Y,N,N,N,N,N,N
2021-06-02,,서울특별시 구로구 온수동 93-2,서울특별시 구로구 온수동 93-2~부천경계,주소지미존재,,,N,N,Y,N,N,N,N,N
2021-06-02,서울특별시 구로구 구일로2길 29,서울특별시 구로구 구로동 700-32,,,37.48894481,126.8773341,N,N,Y,N,N,N,N,N
2021-06-03,서울특별시 구로구 부일로9길 78,서울특별시 구로구 궁동 237-10,,,37.49606778,126.824905,N,Y,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 부일로9길 78,서울특별시 구로구 궁동 237-10,,,37.49606778,126.824905,N,Y,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 부일로9길 90-2,서울특별시 구로구 궁동 238-3,,,37.49633666,126.8244302,Y,N,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 부일로9길 92,서울특별시 구로구 궁동 238,,,37.49643686,126.8242552,N,Y,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 오리로21길 110,서울특별시 구로구 궁동 237-12,,,37.49586574,126.8251231,N,Y,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 부일로9길 1333,,,주소지미존재,,,N,Y,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 공원로 54,서울특별시 구로구 구로동 45-9,,,37.50259229,126.8901814,Y,N,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 공원로 54,서울특별시 구로구 구로동 45-9,,,37.50259229,126.8901814,N,Y,N,N,N,N,N,N
2021-06-03,서울특별시 구로구 부일로9길 49,서울특별시 구로구 온수동 7-5,,,37.49467081,126.8254152,N,N,Y,N,N,N,N,N
2021-06-04,서울특별시 구로구 공원로 73-1,서울특별시 구로구 구로동 50,,,37.50302756,126.8883489,N,Y,N,N,N,N,N,N
