날짜,시간,강수,강수형태,기온,뇌전,습도,풍속,풍향,하늘상태
 format: day,hour,value location:58_125 Start : 20210601 ,,,,,,,
1,0,0,0,21.700001,-1,70,2,202,-1
1,100,0,0,23.5,-1,68,1.2,243,-1
1,200,0,0,24.299999,-1,60,2.9,198,-1
1,300,0,0,25.200001,-1,57,2.6,215,-1
1,400,0,0,23.9,-1,64,2.2,215,-1
1,500,0,0,24.299999,-1,62,1.5,188,-1
1,600,0,0,22.799999,-1,67,1.4,247,-1
1,700,0,0,23.700001,-1,68,1.5,185,-1
1,800,0,0,23.299999,-1,64,0.6,225,-1
1,900,0,0,23.1,-1,65,1.2,270,-1
1,1000,0,0,22.4,-1,74,1.6,339,-1
1,1100,0,0,21.700001,-1,79,1.1,32,-1
1,1200,0,0,21.200001,-1,85,1.1,85,-1
1,1300,0,0,20.9,-1,86,0.6,44,-1
1,1400,0,0,20.5,-1,90,0.7,58,-1
1,1500,0,0,20,-1,94,1.5,16,-1
1,1600,0,0,19.200001,-1,95,0.7,50,-1
1,1700,0,0,18.700001,-1,95,0.9,37,-1
1,1800,0,0,18.4,-1,95,0.2,131,-1
1,1900,0,0,18.200001,-1,95,0.3,7,-1
1,2000,0,0,18.700001,-1,95,0.1,195,-1
1,2100,0,0,20.799999,-1,95,0.5,96,-1
1,2200,0,0,22.700001,-1,77,0.4,127,-1
1,2300,0,0,24.9,-1,64,0.8,36,-1
2,0,0,0,26.5,-1,58,1.5,173,-1
2,100,0,0,27.4,-1,48,1.2,192,-1
2,200,0,0,28.6,-1,40,2.3,219,-1
2,300,0,0,28.5,-1,42,2.9,188,-1
2,400,0,0,29.4,-1,39,1.4,191,-1
2,500,0,0,29,-1,37,1.5,259,-1
2,600,0,0,29.1,-1,40,2.8,204,-1
2,700,0,0,28.5,-1,42,2.2,233,-1
2,800,0,0,27.6,-1,42,2.4,208,-1
2,900,0,0,26,-1,44,1.7,202,-1
2,1000,0,0,24.200001,-1,53,1.4,200,-1
2,1100,0,0,23.1,-1,65,1.8,199,-1
2,1200,0,0,22.799999,-1,73,1.3,205,-1
2,1300,0,0,22.299999,-1,79,0.7,231,-1
2,1400,0,0,22,-1,82,1.3,181,-1
2,1500,0,0,21.299999,-1,86,0.6,211,-1
2,1600,0,0,21.200001,-1,88,0.6,187,-1
2,1700,0,0,21.1,-1,90,0.9,178,-1
2,1800,0,0,20.299999,-1,91,0.7,178,-1
2,1900,0,0,20.200001,-1,91,0.5,200,-1
2,2000,0,0,20.299999,-1,91,1.4,163,-1
2,2100,0,0,22.1,-1,90,0.1,183,-1
2,2200,0,0,23.1,-1,75,2.1,148,-1
2,2300,0,0,23,-1,68,3.3,188,-1
3,0,0,0,22.799999,-1,70,2.1,185,-1
3,100,0,0,23.700001,-1,66,2.8,173,-1
3,200,0,0,23.1,-1,66,2.5,195,-1
3,300,2,1,19.799999,-1,90,0.6,187,-1
3,400,2.5,1,19.1,-1,95,0.5,302,-1
3,500,-1,-1,-50,-1,-1,-1,-1,-1
