지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도면,1980,5817,광주시,광남동,56.47,420.96,7.46,2019-12-25
보도면,1983,5832,광주시,광남동,138.81,342.51,2.99,2019-12-25
차도포장,2305,6084,광주시,광남동,28.3,613,17.06,2019-12-25
차도포장,2304,5230,광주시,광남동,97.78,687.72,7,2019-12-25
차도포장,2303,5216,광주시,광남동,21.24,231.44,9.95,2019-12-25
차도포장,2302,6092,광주시,광남동,22.31,262.99,9.95,2019-12-25
차도포장,2301,6091,광주시,광남동,17.86,179.01,9.99,2019-12-25
차도포장,2300,6077,광주시,광남동,25.73,524.28,9.99,2019-12-25
차도포장,2299,160765,광주시,광남동,23.23,304.33,9.95,2019-12-25
차도포장,2298,6016,광주시,광남동,24.69,347.38,10.22,2019-12-25
차도포장,2297,162419,광주시,광남동,48.2,536.12,10.22,2019-12-25
차도포장,2296,6061,광주시,광남동,16.57,130.71,7.6,2019-12-25
차도포장,2295,6020,광주시,광남동,18,155.62,7.6,2019-12-25
차도포장,2294,6064,광주시,광남동,22,165.8,7.54,2019-12-25
차도포장,2293,6066,광주시,광남동,16.01,135.89,7.54,2019-12-25
차도포장,2292,6067,광주시,광남동,25.29,159.88,6.06,2019-12-25
차도포장,2291,6022,광주시,광남동,16.89,120.77,6.06,2019-12-25
차도포장,2290,6051,광주시,광남동,16.07,93.28,4.97,2019-12-25
차도포장,2289,6047,광주시,광남동,12.33,67.96,4.97,2019-12-25
차도포장,2288,6069,광주시,광남동,16.41,118.17,5.89,2019-12-25
차도포장,2287,6116,광주시,광남동,53.98,913.4,16.5,2019-12-25
차도포장,2286,6081,광주시,광남동,21.46,411.48,16.5,2019-12-25
차도포장,2285,5210,광주시,광남동,42.11,903.64,16.5,2019-12-25
차도포장,2284,6072,광주시,광남동,25.94,132.13,4.98,2019-12-25
차도포장,2283,6050,광주시,광남동,20.44,101.45,4.95,2019-12-25
차도포장,2282,6070,광주시,광남동,15.99,93.13,4.97,2019-12-25
차도포장,2281,6040,광주시,광남동,78.28,394.23,4.97,2019-12-25
차도포장,2280,6050,광주시,광남동,25.67,215.07,7.9,2019-12-25
차도포장,2279,6055,광주시,광남동,160.6,"1,616.66",9,2019-12-25
차도포장,2278,6055,광주시,광남동,92.42,864.24,8.97,2019-12-25
차도포장,2277,6055,광주시,광남동,42.34,233.2,5.03,2019-12-25
차도포장,2180,6055,광주시,광남동,17.53,269.17,9,2019-12-25
차도포장,2170,6036,광주시,광남동,40.5,664.53,17.06,2019-12-25
차도포장,2169,6035,광주시,광남동,33.13,574.5,18.07,2019-12-25
차도포장,2168,6035,광주시,광남동,60.5,901.04,14.61,2019-12-25
차도포장,2167,5226,광주시,광남동,325.6,"4,713.39",13.97,2019-12-25
차도포장,2166,6049,광주시,광남동,10,158.84,5.94,2019-12-25
차도포장,2150,6008,광주시,광남동,42.82,307.16,6.94,2019-12-25
차도포장,2149,6009,광주시,광남동,24.1,172.78,6.97,2019-12-25
차도포장,2148,6002,광주시,광남동,57.25,398.38,6.97,2019-12-25
차도포장,2147,6005,광주시,광남동,10,69.5,6.96,2019-12-25
차도포장,2146,5998,광주시,광남동,53.28,369.2,6.92,2019-12-25
차도포장,2145,5999,광주시,광남동,22.19,167.61,6.97,2019-12-25
차도포장,2144,5999,광주시,광남동,45.16,324.75,6.97,2019-12-25
차도포장,2143,6013,광주시,광남동,22.21,220.33,9.87,2019-12-25
차도포장,2142,6016,광주시,광남동,6.01,59.46,9.89,2019-12-25
차도포장,2141,6016,광주시,광남동,115.85,"1,148.62",9.91,2019-12-25
차도포장,2128,6018,광주시,광남동,114.71,689.01,5.94,2019-12-25
차도포장,2127,6053,광주시,광남동,17.59,114.07,5.96,2019-12-25
차도포장,2126,6053,광주시,광남동,25.04,152.17,5.97,2019-12-25
차도포장,2125,6024,광주시,광남동,33.05,202.04,5.95,2019-12-25
차도포장,2124,6026,광주시,광남동,14.72,90.84,5.92,2019-12-25
차도포장,2123,6026,광주시,광남동,23.55,139.85,5.93,2019-12-25
차도포장,2122,5994,광주시,광남동,22.36,131.25,5.87,2019-12-25
차도포장,2121,6028,광주시,광남동,6.12,35.97,5.88,2019-12-25
차도포장,2120,6030,광주시,광남동,26.34,155.84,5.91,2019-12-25
차도포장,2119,6032,광주시,광남동,19.53,128.68,5.98,2019-12-25
차도포장,2118,6032,광주시,광남동,40.36,242.24,6,2019-12-25
차도포장,2095,6011,광주시,광남동,57.87,575.77,9.96,2019-12-25
차도포장,2094,6012,광주시,광남동,9.99,99.42,9.95,2019-12-25
차도포장,2093,6012,광주시,광남동,53.18,529.29,9.94,2019-12-25
차도포장,2086,5995,광주시,광남동,33.25,167.89,4.98,2019-12-25
차도포장,2085,6051,광주시,광남동,6.32,31.61,5,2019-12-25
차도포장,2084,6051,광주시,광남동,32.91,167.09,5,2019-12-25
차도포장,2083,6109,광주시,광남동,21.41,311.68,19.1,2019-12-25
차도포장,2037,5963,광주시,초월읍,44.75,349.35,7.57,2019-12-25
차도포장,2036,5962,광주시,초월읍,141.45,"1,086.52",7.57,2019-12-25
차도포장,2032,5907,광주시,오포읍,149.61,"1,055.59",7,2019-12-25
차도포장,2030,5908,광주시,오포읍,21.2,203.86,9.65,2019-12-25
차도포장,2027,5896,광주시,오포읍,355.32,"2,756.83",7.4,2019-12-25
차도포장,2025,5900,광주시,오포읍,41.07,415.93,9.91,2019-12-25
차도포장,2023,5891,광주시,오포읍,12.23,231.16,9.65,2019-12-25
차도포장,2019,5893,광주시,오포읍,90.69,674.07,7.45,2019-12-25
차도포장,2017,5894,광주시,오포읍,6.5,149.16,9.51,2019-12-25
차도포장,2015,5898,광주시,오포읍,49.29,374.84,6.61,2019-12-25
차도포장,2013,5888,광주시,오포읍,270.42,"2,076.57",7.4,2019-12-25
차도포장,2010,5887,광주시,오포읍,44.34,484.84,9.9,2019-12-25
차도포장,2008,5885,광주시,오포읍,8.32,305.36,12.26,2019-12-25
차도포장,2006,5884,광주시,오포읍,32.23,355.4,10.22,2019-12-25
차도포장,2003,5890,광주시,오포읍,119.36,940.99,7.47,2019-12-25
차도포장,1991,5843,광주시,오포읍,63.57,480.49,7.94,2019-12-25
차도포장,1990,5842,광주시,오포읍,76.75,756.53,10.69,2019-12-25
차도포장,1989,5841,광주시,오포읍,33.44,272.14,8.75,2019-12-25
차도포장,1988,5840,광주시,오포읍,37.13,279.59,7.78,2019-12-25
차도포장,1987,5839,광주시,오포읍,45.09,355.48,8.05,2019-12-25
차도포장,1986,5838,광주시,오포읍,27.83,260.47,8.05,2019-12-25
차도포장,1982,5832,광주시,광남동,48.35,967.59,20.06,2019-12-25
차도포장,1981,5823,광주시,광남동,35.04,"1,044.84",13.89,2019-12-25
차도포장,1977,5816,광주시,광남동,39.49,686.52,16.7,2019-12-25
차도포장,1975,5815,광주시,광남동,349.01,"5,124.31",13.89,2019-12-25
차도포장,1974,5826,광주시,광남동,13.11,622.12,13.89,2019-12-25
차도포장,1969,5814,광주시,광남동,291.31,"2,574.31",7.05,2019-12-25
차도포장,1968,5813,광주시,광남동,15.48,149.9,9.1,2019-12-25
차도포장,1966,5830,광주시,광남동,16.21,191.58,9.1,2019-12-25
차도포장,1962,5812,광주시,광남동,215.1,"3,122.31",13.99,2019-12-25
차도포장,1961,5818,광주시,광남동,22.7,502.94,20.06,2019-12-25
차도포장,1960,5811,광주시,광남동,11.03,250.24,24.13,2019-12-25
차도포장,1955,5810,광주시,광남동,84.1,"1,007.13",10.53,2019-12-25
차도포장,1953,5803,광주시,오포읍,246.41,"3,373.17",13.16,2019-12-25
차도포장,1952,5804,광주시,오포읍,49.18,491.88,10.66,2019-12-25
차도포장,1951,5805,광주시,오포읍,51.02,639.1,11.22,2019-12-25
차도포장,1950,5806,광주시,오포읍,19.1,188.1,9.37,2019-12-25
차도포장,1934,5766,광주시,오포읍,19.75,159.23,8.06,2019-12-25
차도포장,1933,5765,광주시,오포읍,47.06,390.05,8.13,2019-12-25
차도포장,1929,5761,광주시,곤지암읍,264.54,"2,230.34",7.74,2019-12-25
차도포장,1924,5750,광주시,광남동,37.98,643.14,16.5,2019-12-25
차도포장,1920,5748,광주시,광남동,68.32,657.91,8.57,2019-12-25
차도포장,1919,5747,광주시,광남동,32.9,290.03,8.86,2019-12-25
차도포장,1914,5746,광주시,광남동,126.82,"1,135.14",8.24,2019-12-25
차도포장,1912,5744,광주시,광남동,28.48,247.9,8.84,2019-12-25
차도포장,1911,5743,광주시,광남동,7.06,58.09,8.04,2019-12-25
차도포장,1906,5741,광주시,오포읍,50.4,370.34,6.94,2019-12-25
차도포장,1902,5737,광주시,초월읍,187.22,"1,303.87",6.32,2019-12-25
차도포장,1899,5731,광주시,퇴촌면,87.89,"1,030.78",10.97,2019-12-25
차도포장,1894,5732,광주시,퇴촌면,63.89,801.79,10.88,2019-12-25
차도포장,1889,5733,광주시,퇴촌면,30.2,604.1,21.8,2019-12-25
차도포장,1887,5734,광주시,퇴촌면,62.06,633.06,8.73,2019-12-25
차도포장,1880,5735,광주시,퇴촌면,335.74,"4,272.39",12.98,2019-12-25
차도포장,1876,5736,광주시,퇴촌면,76.12,565.56,7.53,2019-12-25
차도포장,1872,5707,광주시,송정동,113.38,"1,201.09",10.13,2019-12-25
차도포장,1683,5695,광주시,광남동,75.32,423.36,5.97,2019-12-25
차도포장,1680,5691,광주시,광남동,16.18,217.2,5.88,2019-12-25
차도포장,1679,5697,광주시,광남동,12.44,72,5.71,2019-12-25
차도포장,1675,5694,광주시,광남동,35.4,311.23,8.47,2019-12-25
차도포장,1673,5693,광주시,광남동,24.1,"1,103.59",33.47,2019-12-25
차도포장,1669,5692,광주시,광남동,18.44,167.8,8.2,2019-12-25
차도포장,1667,5701,광주시,광남동,72.27,518.04,6.77,2019-12-25
차도포장,1665,5700,광주시,광남동,4.89,225.4,12.38,2019-12-25
차도포장,1663,5706,광주시,광남동,80.12,666.57,8.97,2019-12-25
차도포장,1661,5705,광주시,광남동,11.41,105.35,8.8,2019-12-25
차도포장,1660,1,광주시,송정동,41.14,240.85,5.87,2019-12-25
차도포장,1659,2,광주시,송정동,16.68,192.79,11.98,2019-12-25
차도포장,1658,700001,광주시,경안동,93.74,548.88,5.3,2019-12-25
차도포장,1650,5674,광주시,초월읍,"1,362.79","10,977.03",7.83,2019-12-25
차도포장,1649,5640,광주시,경안동,14.96,131.64,7.52,2019-12-25
차도포장,1648,5643,광주시,경안동,134.05,877.26,6.48,2019-12-25
차도포장,1647,5641,광주시,경안동,40.92,307.97,6,2019-12-25
차도포장,1646,5642,광주시,경안동,59.84,393.71,5.94,2019-12-25
차도포장,1645,1,광주시,경안동,118.4,821.8,6.73,2019-12-25
차도포장,1639,5596,광주시,경안동,366.31,"4,140.55",10.95,2019-12-25
차도포장,1638,5601,광주시,경안동,170.42,"2,546.71",13.95,2019-12-25
차도포장,1629,5598,광주시,경안동,64.2,686.31,10.03,2019-12-25
차도포장,1626,5599,광주시,경안동,25.61,931.32,19.98,2019-12-25
차도포장,1624,5597,광주시,경안동,62.87,"1,026.17",11.65,2019-12-25
차도포장,1621,5606,광주시,경안동,55.44,824.61,15,2019-12-25
차도포장,1619,5600,광주시,경안동,40.37,606.46,14.94,2019-12-25
차도포장,1617,5602,광주시,경안동,17.42,767.99,16.93,2019-12-25
차도포장,1614,5607,광주시,경안동,240.19,"3,363.56",14.01,2019-12-25
차도포장,1608,5480,광주시,오포읍,293.69,"3,451.41",11.49,2019-12-25
차도포장,1605,5478,광주시,오포읍,11.34,148.98,12.85,2019-12-25
차도포장,1603,5479,광주시,오포읍,148.92,"1,644.23",10.05,2019-12-25
차도포장,1602,5481,광주시,오포읍,201.5,"1,330.63",6.01,2019-12-25
차도포장,1595,5452,광주시,경안동,48.15,518.78,10.55,2019-12-25
차도포장,1594,5453,광주시,경안동,48.46,306.92,5.72,2019-12-25
차도포장,1590,5454,광주시,광남동,205.83,879.11,4.2,2019-12-25
차도포장,1586,5354,광주시,오포읍,11.07,345.82,11.4,2019-12-25
차도포장,1585,5398,광주시,오포읍,48.79,455.3,9.22,2019-12-25
차도포장,1584,5396,광주시,오포읍,13.36,181.07,9.3,2019-12-25
차도포장,1583,5379,광주시,오포읍,60.76,622.79,9.85,2019-12-25
차도포장,1582,5380,광주시,오포읍,22.69,291.74,12.53,2019-12-25
차도포장,1581,5378,광주시,오포읍,26.46,336.6,12.85,2019-12-25
차도포장,1580,5386,광주시,오포읍,14.22,175.47,12.46,2019-12-25
차도포장,1579,5384,광주시,오포읍,71.84,545.6,7.09,2019-12-25
차도포장,1578,5393,광주시,오포읍,13.94,178.22,12.06,2019-12-25
차도포장,1577,5638,광주시,오포읍,28.74,303.24,9.85,2019-12-25
차도포장,1576,5388,광주시,오포읍,73.04,495.24,6.37,2019-12-25
차도포장,1575,5361,광주시,오포읍,76.27,703.86,9,2019-12-25
차도포장,1574,5383,광주시,오포읍,9.19,93.63,9.72,2019-12-25
차도포장,1573,5360,광주시,오포읍,21.18,267.62,14.7,2019-12-25
차도포장,1572,5366,광주시,오포읍,74.23,710.49,9.13,2019-12-25
차도포장,1571,5367,광주시,오포읍,39.14,524.06,17.63,2019-12-25
차도포장,1570,5387,광주시,오포읍,311.08,"2,856.24",9.02,2019-12-25
차도포장,1569,5371,광주시,오포읍,24.39,230.6,9.78,2019-12-25
차도포장,1568,5364,광주시,오포읍,27,245.25,9.06,2019-12-25
차도포장,1567,5370,광주시,오포읍,117.03,"1,368.97",11.21,2019-12-25
차도포장,1566,5394,광주시,오포읍,4.48,39.76,9.02,2019-12-25
차도포장,1565,5357,광주시,오포읍,27.55,360.17,13.53,2019-12-25
차도포장,1564,5373,광주시,오포읍,30.68,714.72,15.21,2019-12-25
차도포장,1563,5392,광주시,오포읍,29.71,284.3,9.49,2019-12-25
차도포장,1562,5382,광주시,오포읍,24.97,180.01,7,2019-12-25
차도포장,1561,5381,광주시,오포읍,19.31,172.25,9.89,2019-12-25
차도포장,1560,5391,광주시,오포읍,46.71,329.86,6.99,2019-12-25
차도포장,1559,5372,광주시,오포읍,256.56,"1,799.90",7.03,2019-12-25
차도포장,1558,5395,광주시,오포읍,18.35,184.41,8.95,2019-12-25
