시설물명,시설물구분,시설물소재지,시설물종류
가창 취·정수시설물,상하수도,대구광역시,지방상수도
대치빗물펌프장,하천,서울특별시,배수펌프장
압구1수문,하천,서울특별시,수문 및 통문
압구2수문,하천,서울특별시,수문 및 통문
대치배수문,하천,서울특별시,수문 및 통문
탄천1수문,하천,서울특별시,수문 및 통문
탄천2수문,하천,서울특별시,수문 및 통문
탄천3수문,하천,서울특별시,수문 및 통문
탄천4수문,하천,서울특별시,수문 및 통문
일원보도육교,교량,서울특별시,육교
양전 보도육교,교량,서울특별시,육교
영동4교,교량,서울특별시,도로교량
내곡배수지,상하수도,서울특별시,지방상수도
양재배수지,상하수도,서울특별시,지방상수도
서초배수지,상하수도,서울특별시,지방상수도
강남관내 도송수관로,상하수도,서울특별시,지방상수도
우면산가압장,상하수도,서울특별시,지방상수도
천호빗물펌프장,하천,서울특별시,배수펌프장
고덕천1수문,하천,서울특별시,수문 및 통문
고덕천2수문,하천,서울특별시,수문 및 통문
고덕수문,하천,서울특별시,수문 및 통문
천호3수문,하천,서울특별시,수문 및 통문
천호2수문,하천,서울특별시,수문 및 통문
천호1배수문,하천,서울특별시,수문 및 통문
거마배수지,상하수도,경기도,지방상수도
오금배수지,상하수도,서울특별시,지방상수도
강동수도관내 도송수관로,상하수도,서울특별시,지방상수도
07WK46D11700,절토사면,강원도,도로사면
07WK46D12100,절토사면,강원도,도로사면
07WK46D12300,절토사면,강원도,도로사면
07WK46D12500,절토사면,강원도,도로사면
07WK46D12600,절토사면,강원도,도로사면
07WK46D17200,절토사면,강원도,도로사면
07WK46D18500,절토사면,강원도,도로사면
07WK46D17800,절토사면,강원도,도로사면
동해2터널,터널,강원도,도로터널
동해1터널,터널,강원도,도로터널
07WK46D15700,절토사면,강원도,도로사면
임곡천교,교량,강원도,도로교량
진부2교,교량,강원도,도로교량
고단교,교량,강원도,도로교량
장신5교,교량,강원도,도로교량
부동교,교량,강원도,도로교량
정동천교,교량,강원도,도로교량
제추교,교량,강원도,도로교량
상시교,교량,강원도,도로교량
북천교,교량,강원도,도로교량
염창2호수문,하천,서울특별시,수문 및 통문
상사4호수문,하천,서울특별시,수문 및 통문
행주대교IC수문,하천,서울특별시,수문 및 통문
안양천제방-강서구,하천,서울특별시,제방
오류철도고가차도,교량,서울특별시,철도교량
화곡터널,터널,서울특별시,도로터널
도림천복개구조물 좌안,교량,서울특별시,복개구조물
염창IC하부복개,교량,서울특별시,도로교량
시흥I.C,교량,서울특별시,도로교량
도림천하류복개구조물,교량,서울특별시,도로교량
오금교접속교,터널,서울특별시,지하차도
오목교동측지하보차도,터널,서울특별시,지하차도
여의2지하차도,터널,서울특별시,지하차도
구로역지하차도,터널,서울특별시,지하차도
